Sample,X,Y,Ca,Mg,Na,K,HCO3,SO4,Cl,NO3,CO3,Fe,Pb,Cu,Cr,Mn,Zn,Ni,Co,Cd,CD,HEI,HPI,KR,mCd,MH,MI,Na%,NPI,PLI,RSC,SAR,WQI,CDI_Dermal_Adult,CDI_Ingestion_Adult,CDI_Inhalation_Adult,Cancer_Risk_dermal_ADULT,Cancer_Risk_ingestion_ADULT,Cancer_Risk_inhalation_ADULT,HI_dermal_ADULT,HI_Ingestion_ADULT,HI_Inhalation_ADULT,TCR_dermal_ADULT,TCR_Ingestion_ADULT,TCR_Inhalation_ADULT,HI_dermal_CHILD,HI_Ingestion_CHILD,HI_Inhalation_CHILD,TCR_dermal_CHILD,TCR_Ingestion_CHILD,TCR_Inhalation_CHILD,Irrigation_Score
AJA1,3.841543621,7.31138383,93.89,33.95,36.52,14.81,344,54,71.28,20.25,8,3.732,0.243,0.175,0.053,0.766,0.849,0.087,0.009,0.129,279.792,58.313,2191.69,0.286,80.01167273,26.56,58.31312381,28.65,18.81,16.00892599,224.16,4.568,53.63,0.000901206,0.172657142,1.27E-09,0.000600118,0.004304714,6.75E-10,2.212122528,6.825802721,1.50E-05,0.000600118,0.004304729,6.74E-10,6.526185236,15.92687302,2.66E-05,0.001770464,0.010044367,1.20E-09,0.125428662
AJA2,3.841782168,7.3128153,75.83,31.79,33.84,11.67,310,50,64.22,7.07,2,2.596,0.179,0.129,0.045,0.598,0.438,0.043,0.008,0.092,185.026,42.1,1579.245,0.314,56.29956364,29.54,42.10048571,29.72,13.425,11.20983081,204.38,4.613,45.91,0.000615585,0.117942856,8.67E-10,0.000384863,0.002717214,5.45E-10,1.597381668,4.953081633,1.14E-05,0.000384862,0.002717186,5.44E-10,0.522076854,2.887285714,5.91E-06,0.000475746,0.002031067,6.92E-10,0.104302398
AJA3,3.841543621,7.314353239,71.62,29.98,31.57,10.83,304,46,59.26,4.02,0,2.078,0.104,0.106,0.043,0.357,0.247,0.031,0.006,0.035,97.648,21.82,708.278,0.311,23.35996364,29.51,21.82049048,29.44,7.551,7.449814964,202.4,4.429,43.19,0.000448364,0.085914286,6.32E-10,0.00027341,0.001763586,4.44E-10,0.697849779,2.568272109,7.33E-06,0.000273382,0.001763543,4.44E-10,0.420770563,2.287380952,4.73E-06,0.000328792,0.001376467,5.19E-10,0.136697867
AJA4,3.84033896,7.315595416,48.21,16.41,12.41,6.05,190,22,30.04,0.63,0,0.241,0.069,0.079,0.031,0.159,0.095,0.009,0.003,0.002,32.431,8.776,225.47,0.192,3.2942,25.39,8.776071429,22.22,4.928,2.523661177,125.38,2.183,25.13,0.000102605,0.019657086,1.45E-10,0.000125445,0.000697357,2.85E-10,0.14297706,1.04055102,2.63E-06,0.000125447,0.000697329,2.85E-10,0.508223437,2.787365079,5.59E-06,0.000426892,0.0017726,6.76E-10,0.876755669
AJA5,3.838848044,7.314944752,59.98,19.78,16.82,10.82,220,36,41.64,3.45,0,0.987,0.078,0.088,0.041,0.197,0.108,0.017,0.004,0.002,41.507,10.848,253.222,0.211,3.962854545,24.8,10.84822381,25.74,5.581,3.595668848,140.24,2.663,33.02,0.000226949,0.043485671,3.19E-10,0.000182465,0.001034314,3.77E-10,0.17594998,1.267986395,3.92E-06,0.000182443,0.001034371,3.76E-10,0.36850356,1.998444444,3.06E-06,0.000284,0.0011826,4.56E-10,0.685278558
AJA6,3.838132404,7.313761725,60.34,19.51,17.03,10.78,224,34,42.27,3.01,0,0.974,0.081,0.086,0.04,0.185,0.105,0.013,0.004,0.002,39.274,11.027,261.455,0.213,3.783163636,24.43,11.02654762,25.83,5.793,3.446061133,144.15,2.695,33.07,0.00022227,0.042571386,3.13E-10,0.000165889,0.000924829,3.67E-10,0.172544792,1.272544218,3.73E-06,0.000165896,0.000924814,3.67E-10,0.553678693,2.944857143,5.89E-06,0.000469689,0.001917167,7.69E-10,0.667529081
AJA7,3.837058944,7.314329578,47.76,17.02,11.87,7.63,190,24,30.12,0.57,0,0.281,0.064,0.073,0.029,0.158,0.074,0.007,<0.003,0.002,29.211,8.24,210.786,0.183,3.081109091,26.27,8.2396,23.14,4.572,2.367527483,125.22,2.086,26.02,0.000103065,0.019742799,1.45E-10,0.000112732,0.000619486,2.67E-10,0.136010303,0.972972789,2.65E-06,0.000112683,0.000619543,2.67E-10,0.501090086,2.649555556,5.36E-06,0.000416837,0.0017132,6.75E-10,0.877290627
AJA8,3.836259813,7.313454137,55.93,21.49,19.45,10.75,222,36,43.19,2.05,0,0.817,0.078,0.083,0.046,0.183,0.099,0.015,0.003,0.002,38.497,10.701,253.576,0.251,3.730854545,27.76,10.70071905,28.06,5.579,3.324376124,144.58,3.126,33.16,0.000197795,0.037885656,2.79E-10,0.000190579,0.001057743,4.18E-10,0.186571037,1.297095238,3.55E-06,0.000190571,0.0010578,4.18E-10,0.514600648,2.678777778,5.39E-06,0.000434429,0.0017793,7.06E-10,0.519088843
AJA9,3.836128612,7.314081142,45.97,16.98,12.07,7.39,188,20,29.81,0.62,0,0.269,0.067,0.075,0.034,0.157,0.075,0.006,<0.003,0.002,29.489,8.612,219.904,0.192,3.090709091,26.97,8.612214286,23.61,4.786,2.378385778,125.05,2.151,25.29,0.0001026,0.019657086,1.45E-10,0.000124257,0.000667714,3.10E-10,0.149051061,1.044482993,2.63E-06,0.000124212,0.0006677,3.10E-10,0.528623751,2.81152381,5.62E-06,0.000453277,0.001871467,7.22E-10,0.847489533
AJA10,3.837333273,7.315666397,58.21,22.05,17.16,11.07,228,36,40.64,3.79,0,0.659,0.076,0.085,0.043,0.179,0.095,0.009,0.003,0.002,34.949,10.188,247.089,0.214,3.445436364,27.47,10.18807143,26.02,5.433,3.021858251,147.74,2.709,33.63,0.000171695,0.032885657,2.41E-10,0.000161226,0.000870486,3.90E-10,0.176963713,1.237408163,3.33E-06,0.00016126,0.000870457,3.90E-10,0.367878868,1.891650794,2.74E-06,0.000292,0.001212533,4.71E-10,0.651292154
AJA11,3.836951598,7.310532044,48.25,17.19,11.21,8.82,190,26,29.47,0.89,0,0.241,0.062,0.075,0.032,0.162,0.061,0.004,<0.003,0.002,27.211,8.027,205.212,0.171,2.938381818,26.27,8.027209524,23.44,4.429,2.169138796,124.56,1.96,26.72,9.58E-05,0.0183428,1.35E-10,0.000111527,0.000589943,2.92E-10,0.142624827,0.980306122,2.67E-06,0.000111448,0.000589914,2.92E-10,0.511723787,2.772063492,7.76E-06,0.000424397,0.0017216,7.06E-10,0.900787737
AJA12,3.835615737,7.312105481,60.29,25.03,19.87,11.19,242,40,44.54,4.79,0,0.597,0.074,0.078,0.042,0.171,0.073,0.005,0.003,0.002,30.757,9.823,240.969,0.233,3.1574,29.34,9.822795238,26.69,5.289,2.664744508,156.68,3.042,35.93,0.000155751,0.029857085,2.19E-10,0.000144738,0.0007597,3.81E-10,0.172267944,1.194585034,3.15E-06,0.0001447,0.000759686,3.81E-10,4.712581932,11.55719048,2.02E-05,0.001135417,0.0063401,9.66E-10,0.55527437
AJA13,3.836188249,7.307740067,47.63,16.59,10.36,7.62,190,22,27.03,0.68,0,0.239,0.054,0.064,0.028,0.098,0.082,0.003,<0.003,0.002,25.019,6.965,181.624,0.161,2.720345455,25.83,6.964990476,21.87,3.857,1.955515874,125.78,1.828,25.44,8.54E-05,0.016371356,1.20E-10,9.61E-05,0.0005068,2.57E-10,0.12490835,0.85647619,1.72E-06,9.61E-05,0.000506829,2.57E-10,0.459155523,2.559634921,5.31E-06,0.000354049,0.0014589,5.81E-10,0.961453427
AJA14,3.840315106,7.309100566,69.47,27.62,21.62,11.59,274,42,50.32,4.59,2,0.703,0.075,0.076,0.048,0.175,0.072,0.004,0.003,0.002,30.553,10.143,244.505,0.223,3.115509091,28.45,10.14310952,25.49,5.363,2.685731419,178.91,3.103,40.2,0.000172649,0.033085658,2.44E-10,0.000159237,0.000821614,4.34E-10,0.187675505,1.262081633,3.32E-06,0.000159206,0.000821643,4.34E-10,1.755875212,6.010873016,1.18E-05,0.000865822,0.004446233,7.44E-10,0.537283838
AJA15,3.839742594,7.308047658,52.28,18.61,15.65,10.41,202,30,37.24,2.63,0,0.524,0.068,0.072,0.042,0.167,0.067,0.004,0.003,0.002,28.644,9.121,223.665,0.221,2.995345455,26.25,9.121109524,26.88,4.861,2.485252399,131.11,2.629,29.97,0.000141492,0.02711423,1.99E-10,0.000141322,0.0007342,3.81E-10,0.169850016,1.13552381,3.02E-06,0.000141291,0.000734229,3.81E-10,2.017148104,5.997714286,1.02E-05,0.000812653,0.004233933,7.12E-10,0.669409793
AJA16,3.842879482,7.30979856,50.62,18.42,16.82,10.82,202,32,36.37,2.51,0,0.566,0.067,0.073,0.044,0.165,0.063,0.004,0.003,0.002,28.566,9.099,221.034,0.244,2.995745455,26.68,9.098509524,28.59,4.791,2.498818568,132.96,2.863,30.04,0.000147192,0.028199944,2.07E-10,0.000147286,0.000762571,3.98E-10,0.17442957,1.148047619,3.04E-06,0.000147255,0.000762557,3.98E-10,1.486476442,5.564507937,1.11E-05,0.000816953,0.004150033,7.10E-10,0.56942492
AJA17,3.840577507,7.309822221,54.19,19.38,17.51,11.08,208,36,40.18,3.96,0,0.597,0.072,0.076,0.045,0.172,0.066,0.005,0.003,0.002,30.167,9.683,235.576,0.238,3.120309091,26.34,9.683495238,27.99,5.148,2.641352035,134.43,2.887,31.71,0.000154741,0.029657086,2.18E-10,0.000153682,0.000802057,4.07E-10,0.179182856,1.204938776,3.17E-06,0.000153643,0.000802057,4.07E-10,0.951416091,4.655460317,9.76E-06,0.000796191,0.004037867,6.11E-10,0.586695956
AJA18,3.845396149,7.311608607,46.73,16.61,10.13,6.24,188,20,26.61,0.51,0,0.221,0.048,0.062,0.029,0.087,0.062,<0.003,<0.003,0.002,23.141,6.337,164.497,0.16,2.628927273,26.22,6.33682381,20.54,3.43,1.83115064,124.66,1.8,24.42,7.72E-05,0.014771358,1.09E-10,9.91E-05,0.000519686,2.66E-10,0.124696603,0.810707483,1.54E-06,9.91E-05,0.000519657,2.66E-10,0.799437189,4.531793651,1.02E-05,0.000650942,0.003274767,5.39E-10,0.999748996
AJA19,3.846863211,7.313891858,50.29,18.32,17.61,10.54,200,30,38.36,3.52,0,2.308,0.064,0.072,0.044,0.143,0.063,0.003,0.003,0.002,29.188,10.471,212.828,0.257,2.9416,26.7,10.47055714,29.09,4.6,2.766276337,131.39,3.007,29.83,0.000402924,0.077199928,5.68E-10,0.000143878,0.000737771,3.98E-10,0.173454427,1.188027211,4.38E-06,0.000143854,0.000737829,3.98E-10,2.058790537,5.992634921,1.30E-05,0.000806528,0.004114933,7.88E-10,0.529488848
AJA20,3.844620873,7.315015734,53.12,21.06,17.37,11.08,204,36,44.67,1.89,0,0.469,0.071,0.069,0.036,0.169,0.062,0.003,0.003,0.002,27.559,9.234,231.513,0.234,2.9338,28.39,9.234490476,27.72,5.073,2.32038693,129.82,2.852,32.06,0.000131812,0.025257071,1.86E-10,0.000120033,0.000625186,3.28E-10,0.155635833,1.096986395,2.99E-06,0.000120009,0.000625243,3.28E-10,0.421809716,2.427952381,4.66E-06,0.000370094,0.0016271,5.05E-10,0.613693063
AJA21,3.837082799,7.310922446,68.34,24.16,30.45,11.28,293,41,63.87,11.2,4,1.906,0.131,0.101,0.041,0.322,0.351,0.041,0.006,0.078,102.426,22.967,705.652,0.329,20.27774545,26.12,22.96744762,31.09,9.437,7.747918834,204.5,4.477,41.69,0.000436461,0.083628572,6.14E-10,0.000293442,0.001905514,4.20E-10,0.595173286,2.576088435,6.65E-06,0.00029348,0.001905529,4.20E-10,0.519086149,2.958634921,6.94E-06,0.000538241,0.002413533,6.67E-10,0.06143413
AJA22,3.84199686,7.311324678,69.58,24.53,29.32,11.85,285,43,69.32,10.86,4,1.348,0.114,0.098,0.038,0.298,0.337,0.036,0.006,0.065,103.278,21.915,736.374,0.312,23.65414545,26.07,21.91508571,30.43,8.243,7.23488074,194.89,4.274,42.32,0.0003445,0.066,4.85E-10,0.000275486,0.001814557,4.01E-10,0.683734617,2.57044898,5.77E-06,0.000275458,0.001814543,4.01E-10,0.50904019,2.969269841,6.61E-06,0.000489424,0.0021579,6.51E-10,0.144384592
AJA23,3.843547413,7.312460391,70.55,25.71,30.04,11.63,312,41,69.44,11.42,2,1.312,0.133,0.108,0.04,0.336,0.288,0.039,0.005,0.072,91.672,21.35,642.123,0.312,16.83767273,26.71,21.35034286,30.21,9.553,6.975839455,217.74,4.33,43.27,0.000340491,0.06522857,4.80E-10,0.000276878,0.001778586,4.00E-10,0.503857599,2.384789116,6.28E-06,0.000276915,0.001778586,4.00E-10,0.40125645,2.270269841,4.69E-06,0.000332437,0.0014456,4.73E-10,0.087266552
AJA24,3.844465817,7.31438873,70.67,25.08,30.85,11.34,301,47,70.07,9.38,4,1.449,0.128,0.12,0.035,0.274,0.305,0.045,0.006,0.061,85.489,18.637,501.264,0.322,11.26252727,26.19,18.63719048,30.59,9.169,6.612421071,209.25,4.459,43.41,0.000353973,0.0678,4.98E-10,0.00026991,0.001730529,3.45E-10,0.322492987,1.995197279,5.50E-06,0.000269878,0.001730514,3.45E-10,0.550420301,3.026555556,6.29E-06,0.000562221,0.0024682,7.41E-10,0.073314525
AJA25,3.8428437,7.314116633,73.25,25.22,30.66,11.72,314,42,69.56,10.73,4,1.27,0.139,0.117,0.031,0.301,0.297,0.035,0.006,0.068,77.78,18.8,497.347,0.311,9.231454545,25.61,18.8003,30.09,9.939,6.118662233,219.53,4.37,44.1,0.000328636,0.062971428,4.63E-10,0.000220677,0.001403557,3.04E-10,0.27097806,1.942197279,5.72E-06,0.000220644,0.001403471,3.04E-10,0.439729183,2.437126984,4.66E-06,0.000366449,0.001557967,5.51E-10,0.083541548
